,onetsoc_code,element_id,scale_id,data_value
430,11-2022.00,4.A.2.b.2_IM,IM,4.36
431,11-2022.00,4.A.2.b.2_LV,LV,4.91
432,11-2022.00,4.A.2.b.3_IM,IM,3.83
433,11-2022.00,4.A.2.b.3_LV,LV,4.87
434,11-2022.00,4.A.2.b.4_IM,IM,4.09
435,11-2022.00,4.A.2.b.4_LV,LV,4.78
436,11-2022.00,4.A.2.b.5_IM,IM,3.74
437,11-2022.00,4.A.2.b.5_LV,LV,4.91
438,11-2022.00,4.A.2.b.6_IM,IM,4.33
439,11-2022.00,4.A.2.b.6_LV,LV,5.68
440,11-2022.00,4.A.3.a.1_IM,IM,1.87
441,11-2022.00,4.A.3.a.1_LV,LV,1.3900000000000001
442,11-2022.00,4.A.3.a.2_IM,IM,1.48
443,11-2022.00,4.A.3.a.2_LV,LV,1.13
444,11-2022.00,4.A.3.a.3_IM,IM,1.52
445,11-2022.00,4.A.3.a.3_LV,LV,0.78
446,11-2022.00,4.A.3.a.4_IM,IM,2.09
447,11-2022.00,4.A.3.a.4_LV,LV,1.3900000000000001
448,11-2022.00,4.A.3.b.1_IM,IM,4.27
449,11-2022.00,4.A.3.b.1_LV,LV,3.5700000000000003
450,11-2022.00,4.A.3.b.2_IM,IM,1.6800000000000002
451,11-2022.00,4.A.3.b.2_LV,LV,1.3
452,11-2022.00,4.A.3.b.4_IM,IM,1.43
453,11-2022.00,4.A.3.b.4_LV,LV,0.8300000000000001
454,11-2022.00,4.A.3.b.5_IM,IM,1.52
455,11-2022.00,4.A.3.b.5_LV,LV,0.91
456,11-2022.00,4.A.3.b.6_IM,IM,3.22
457,11-2022.00,4.A.3.b.6_LV,LV,3.13
458,11-2022.00,4.A.4.a.1_IM,IM,3.61
459,11-2022.00,4.A.4.a.1_LV,LV,3.5700000000000003
460,11-2022.00,4.A.4.a.2_IM,IM,4.35
461,11-2022.00,4.A.4.a.2_LV,LV,5.17
462,11-2022.00,4.A.4.a.3_IM,IM,4.18
463,11-2022.00,4.A.4.a.3_LV,LV,5.35
464,11-2022.00,4.A.4.a.4_IM,IM,4.35
465,11-2022.00,4.A.4.a.4_LV,LV,5.82
466,11-2022.00,4.A.4.a.5_IM,IM,2.52
467,11-2022.00,4.A.4.a.5_LV,LV,2.61
468,11-2022.00,4.A.4.a.6_IM,IM,4.7
469,11-2022.00,4.A.4.a.6_LV,LV,5.87
470,11-2022.00,4.A.4.a.7_IM,IM,4.09
471,11-2022.00,4.A.4.a.7_LV,LV,5.35
472,11-2022.00,4.A.4.a.8_IM,IM,3.7
